id_servicio;servicio;id_diagnostico;diagnostico
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A51.2;SIFILIS PRIMARIA EN OTROS SITIOS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A51.3;SIFILIS SECUNDARIA DE PIEL Y MENBRAN.MUC
42;GUARDIA OBSTETRICA;A51.9;SIFILIS PRECOZ SIN OTRA ESPECIFICACION
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A53;OTRAS SIFILIS Y LAS NO ESPECIFICADAS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A53.9;SIFILIS NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A54;INFECCION GONOCOCICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A55;LINFOGRANULOMA (VENEREO) POR CLAMIDIAS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A56.8;INFECC.DE TRANS.SEXUAL DE OTROS SITIOS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A57;CHANCRO BLANDO
42;GUARDIA OBSTETRICA;A59;TRICOMONIASIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A59.0;TRICOMONIASIS UROGENITAL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A60;INFECC.ANOGENIT. DEBI.A VIRUS DEL HERPES
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A60.0;INFECC.DE GENIT.Y TRAY.UROGENIT.DEB.HERP
42;GUARDIA OBSTETRICA;A60.9;INFECC.ANOGENITAL X VIRUS DEL HERPES SIM
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A63;OTRAS ENFERM.DE TRANSM.SEXUAL NO CLASIF.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A63.0;VERRUGAS ANOGENITALES
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A64;ENFERM.DE TRANSMISION SEXUAL NO ESPECIF.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A66.3;HIPERQUERATOSIS DE FRAMBESIA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A66.6;LES.FRAMBESICAS DE LOS HUESOS Y ARTICUL.
123;GUARDIA EMERGENCIA;A68;FIEBRES RECURRENTES
123;GUARDIA EMERGENCIA;A68.9;FIEBRE RECURRENTE- NO ESPECIFICADA
123;GUARDIA EMERGENCIA;A69.2;ENFERMEDAD DE LYME
123;GUARDIA EMERGENCIA;A78;FIEBRE Q
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A87.9;MENINGITIS VIRAL SIN OTRA ESPECIFICACION
135;GUARDIA PEDIATRIA;A88.0;FIEBRE EXANTEMATICA ENTEROVIRAL
123;GUARDIA EMERGENCIA;A88.1;VERTIGO EPIDEMICO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;A90;FIEBRE DEL DENGUE (DENGUE CLASICO)
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B00;INFECCIONES HERPETICAS (HERPES SIMPLE)
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B00.0;ECZEMA HERPETICO
135;GUARDIA PEDIATRIA;B00.1;DERMATITIS VESICULAR HERPETICA
135;GUARDIA PEDIATRIA;B00.2;GINGIVOESTOMATITIS Y FARINGOAMIGDALITIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B00.7;ENFERMEDAD HERPETICA DISEMINADA
135;GUARDIA PEDIATRIA;B00.8;OTRAS FORMAS DE INFECCIONES HERPETICAS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B00.9;INFECCION DEBIDA AL VIRUS DEL HERPES, NO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B01;VARICELA
135;GUARDIA PEDIATRIA;B01.8;VARICELA CON OTRAS COMPLICACIONES
135;GUARDIA PEDIATRIA;B01.9;VARICELA SIN COMPLICACIONES
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B02;HERPES ZOSTER
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B02.3;HERPES ZOSTER OCULAR
135;GUARDIA PEDIATRIA;B02.8;HERPES ZOSTER CON OTRAS COMPLICACIONES
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B02.9;HERPES ZOSTER SIN COMPLICACIONES
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B03;VIRUELA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B07;VERRUGAS VIRICAS
135;GUARDIA PEDIATRIA;B08;OTRAS INF.VIR.CARACT.POR LESIO.DE PIEL
135;GUARDIA PEDIATRIA;B08.1;MOLUSCO CONTAGIOSO
135;GUARDIA PEDIATRIA;B08.2;EXANTEMA SUBITO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B08.3;ERITEMA INFECCIOSO
135;GUARDIA PEDIATRIA;B08.4;ESTOMATITIS VESICULAR ENTEROVIRAL CON EX
135;GUARDIA PEDIATRIA;B08.5;FARINGITIS VESICULAR ENTEROVIRICA
135;GUARDIA PEDIATRIA;B08.8;OTRAS INFECC.VIR.ESPEC.CARAC. X LES.PIEL
135;GUARDIA PEDIATRIA;B09;INF.VIR.NOESPEC.CARACT.POR LESIO.DE PIEL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B15;HEPATITIS AGUDA TIPO A
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B24;ENFERMEDAD POR VIRUS DE LA INMUNODEFICIE
135;GUARDIA PEDIATRIA;B26;PAROTIDITIS INFECCIOSA
135;GUARDIA PEDIATRIA;B26.8;PAROTIDITIS INFECCIOSA CON OTRAS COMPLIC
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B26.9;PAROTIDITIS, SIN COMPLICACIONES
135;GUARDIA PEDIATRIA;B27;MONONUCLEOSIS INFECCIOSA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B27.8;OTRAS MONONUCLEOSIS INFECCIOSAS
123;GUARDIA EMERGENCIA;B27.9;MONONUCLEOSIS INFECCIOSA- NO ESPECIFICADA
135;GUARDIA PEDIATRIA;B30;CONJUNTIVITIS VIRAL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B30.2;FARINGOCONJUNTIVITIS VIRAL
135;GUARDIA PEDIATRIA;B30.8;OTRAS CONJUNTIVITIS VIRALES
123;GUARDIA EMERGENCIA;B30.9;CONJUNTIVITIS VIRAL- SIN OTRA ESPECIFICACION
835;GUARDIA COVID19;B34;INFECCION VIRAL DE SITIO NO ESPECIFICADO
123;GUARDIA EMERGENCIA;B34.3;INFECCION DEBIDA A PARVOVIRUS- SIN OTRA ESPECIFICACION
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B34.9;INFECCION VIRAL NO ESPECIFICADA
135;GUARDIA PEDIATRIA;B35.0;TIÒA DE LA BARBA Y DEL  CUERO CABELLUDO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B35.1;TIÒA DE LAS UÒAS
123;GUARDIA EMERGENCIA;B35.3;TI—A DEL PIE [TINEA PEDIS]
123;GUARDIA EMERGENCIA;B36;OTRAS MICOSIS SUPERFICIALES
123;GUARDIA EMERGENCIA;B36.0;PITIRIASIS VERSICOLOR
135;GUARDIA PEDIATRIA;B36.9;MICOSIS SUPERFICIAL SIN OTRA ESPEC.
42;GUARDIA OBSTETRICA;B37;CANDIDIASIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B37.0;ESTOMATITIS CANDIDIASICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B37.3;CANDIDIASIS DE LA VLVA Y VAGINA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B37.8;CANDIDIASIS DE OTROS SITIOS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B37.9;CANDIDIASIS NO ESPECIFICADA
123;GUARDIA EMERGENCIA;B43.2;ABSCESO Y QUISTE SUBCUTANEO FEOMICOTICO
135;GUARDIA PEDIATRIA;B44.8;OTRAS FORMAS DE ASPERGILOSIS
123;GUARDIA EMERGENCIA;B48;OTRAS MICOSIS- NO CLASIFICADAS EN OTRA PARTE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B49;MICOSIS NO ESPECIFICADA
123;GUARDIA EMERGENCIA;B57.0;ENFERMEDAD DE CHAGAS AGUDA QUE AFECTA AL CORAZON
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B76.1;NECATORIASIS
135;GUARDIA PEDIATRIA;B77;ASCARIASIS
135;GUARDIA PEDIATRIA;B82;PARASITOSIS INTESTINALES NO CLASIFICADS
135;GUARDIA PEDIATRIA;B82.9;PARASITOSIS INTESTINAL SIN OTRA ESPECIFI
135;GUARDIA PEDIATRIA;B85.0;PEDICULOSIS DEBI. PEDICULUS HUMANUS CAPI
135;GUARDIA PEDIATRIA;B85.2;PEDICULOSIS SIN OTRA ESPECIFICACION
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B86;ESCABIOSIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;B87;MIASIS
135;GUARDIA PEDIATRIA;B89;ENFERMEDAD PARASITARIA NO ESPECIFICADA
123;GUARDIA EMERGENCIA;B95.3;STREPTOCOCCUS PNEUMONIAE COMO CAUSA DE ENF CLASIFICADAS EN OTROS CAPITULOS
123;GUARDIA EMERGENCIA;B96.0;MYCOPLASMA PNEUMONIAE [M. PNEUMONIAE] COMO CAUSA DE ENF CLASIF EN OTROS CAPIT
135;GUARDIA PEDIATRIA;B97.1;ENTEROVIRUS C/CAUSA DE ENF.CLASIF O CAP.
135;GUARDIA PEDIATRIA;B97.2;CORONAVIRUS C/CASUA DE ENF.CLASIF.OTR.CA
835;GUARDIA COVID19;B97.4;VIRUS SINCICIAL RESP.C/CAU.ENF.OTROS.CAP
123;GUARDIA EMERGENCIA;B97.7;PAPILOMAVIRUS COMO CAUSA DE ENFERMEDADES CLASIFICADAS EN OTROS CAPITULOS
123;GUARDIA EMERGENCIA;C00.8;LESION DE SITIOS CONTIGUOS DEL LABIO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C02.8;LESION DE SITIOS CONTIGUOS DE LA LENGUA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C04.8;LESION DE SITIOS CONTIGUOS PISO BOCA
123;GUARDIA EMERGENCIA;C05.8;LESION DE SITIOS CONTIGUOS DEL PALADAR
123;GUARDIA EMERGENCIA;C06.8;LESION DE SITIOS CONTIGUOS DE OTRAS PARTES Y DE LAS NO ESPECIFICADAS DE LA BOCA
123;GUARDIA EMERGENCIA;C14.8;LESION DE SITIOS CONTIGUOS DEL LABIO- DE LA CAVIDAD BUCAL Y DE LA FARINGE
935;GUARDIA AMBULATORIA MOVILES;C15.9;TUMOR MALIG. ESOFAGO PARTE NO ESPECIFIC.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C16.9;TUMOR MALIG. ESTOMAGO PARTE NO ESPECIF.
123;GUARDIA EMERGENCIA;C18;TUMOR MALIGNO DEL COLON
123;GUARDIA EMERGENCIA;C21.8;LESION DE SITIOS CONTIGUOS DEL ANO- DEL CONDUCTO ANAL Y DEL RECTO
123;GUARDIA EMERGENCIA;C34;TUMOR MALIGNO DE LOS BRONQUIOS Y DEL PULMON
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C34.9;TUMOR MALIG. BRONQUIOS-PULMON NO ESPECIF
123;GUARDIA EMERGENCIA;C41.8;LESION DE SITIOS CONTIGUOS DEL HUESO Y DEL CARTILAGO ARTICULAR
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C44.8;LESION SITIOS CONTIGUOS DE LA PIEL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C50.8;LESION DE SITIOS CONTIGUOS DE LA MAMA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C50.9;TUMOR MALIGNO DE LA MAMA PARTE NO ESPEC.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C51;TUMOR MALIGNO DE LA VULVA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C51.8;LESION DE SITIOS CONTIGUOS DE VULVA
123;GUARDIA EMERGENCIA;C53.0;TUMOR MALIGNO DEL ENDOCERVIX
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C53.9;TUMOR MALIG.DEL CUELLO UTERO S/ESPECIFI.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C56;TUMOR MALIGNO DEL OVARIO
123;GUARDIA EMERGENCIA;C57.8;LESION DE SITIOS CONTIGUOS DE LOS ORGANOS GENITALES FEMENINOS
123;GUARDIA EMERGENCIA;C60.8;LESION DE SITIOS CONTIGUOS DEL PENE
123;GUARDIA EMERGENCIA;C63.8;LESION DE SITIOS CONTIGUOS DE LOS ORGANOS GENITALES MASCULINOS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C68.8;LESION SITIOS CONT.DE ORGANOS URINARIOS
123;GUARDIA EMERGENCIA;C69.8;LESION DE SITIOS CONTIGUOS DEL OJO Y SUS ANEXOS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C78.6;TUMOR MALIG.SEC.DEL PERITONEO Y RETROPER
135;GUARDIA PEDIATRIA;C84.0;MICOSIS FUNGOIDE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C92.1;LEUCEMIA MIELOIDE CRONICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;C96;OTR.TUM.MALIG.NO ESPECIFICADOS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D01;CARCINOMA IN SITU DE OTR.ORG.DIGESTIVOS
42;GUARDIA OBSTETRICA;D06.7;CAR.IN SITU OTR.PART.ESP.CUELLO DEL UTER
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D09;CARCINOMA IN SITU DE OTR.SITIOS NO ESPEC
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D14.2;TUMOR BENIGNO DE LA TRAQUEA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D16.7;TUMOR BENIG.COSTILLAS,ESTERNON,CLAVICULA
135;GUARDIA PEDIATRIA;D17;TUMORES BENIGNOS LIPOMATOSOS
123;GUARDIA EMERGENCIA;D17.2;TUMOR BENIGNO LIPOMATOSO DE PIEL Y DE TEJIDO SUBCUTANEO DE MIEMBROS
123;GUARDIA EMERGENCIA;D17.9;TUMOR BENIGNO LIPOMATOSO- DE SITIO NO ESPECIFICADO
123;GUARDIA EMERGENCIA;D23.4;TUMOR BENIGNO DE LA PIEL DEL CUERO CABELLUDO Y DEL CUELLO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D25.9;LEIOMIOMA DEL UTERO, SIN OTRA ESPECIFICA
123;GUARDIA EMERGENCIA;D36.0;TUMOR BENIGNO DE LOS GANGLIOS LINFATICOS
135;GUARDIA PEDIATRIA;D36.7;TUMOR BENIGNO OTROS SITIOS ESPECIFICADOS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D37.7;TUM.COMP.INC.DESC.OTR.ORG.DIGEST. ESPECI
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D39.7;TUM.COMP.INC.OTROS ORGANOS GEN.FEMENINOS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D40.1;TUMOR COMP.INCIERTO O DESC.DEL TESTICULO
123;GUARDIA EMERGENCIA;D46.4;ANEMIA REFRACTARIA- SIN OTRA ESPECIFICACION
123;GUARDIA EMERGENCIA;D48.6;TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LA MAMA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D48.9;TUMOR COMP.INCIERTO SITIO NO ESPECIFICAD
835;GUARDIA COVID19;D50;ANEMIAS POR DEFICIENCIA DE HIERRO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D50.0;ANEMIA DEF.HIERRO SEC.A PERDIDA DE SANGR
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D53.9;ANEMIA NUTRICIONAL NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D64;OTRAS ANEMIAS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D64.9;ANEMIA DE TIPO NO ESPECIFICADA
42;GUARDIA OBSTETRICA;D68.5;TROMBOFILIA PRIMARIA
135;GUARDIA PEDIATRIA;D69;PURPURA Y OTRAS AFECCIONES HEMORRAGICAS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D69.0;PURPURA ALERGICA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D69.2;OTRAS PURPURAS NO TROMBOCITOPENICAS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;D69.3;PURPURA TROMBOCITOPENICA IDIOPATICA
935;GUARDIA AMBULATORIA MOVILES;D69.4;OTRAS TROMBOCITOPENIAS PRIMARIAS
123;GUARDIA EMERGENCIA;E02;HIPOTIROIDISMO SUBCLINICO POR DEFICIENCIA DE YODO
123;GUARDIA EMERGENCIA;E03;OTRO HIPOTIROIDISMO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E03.9;HIPOTIROIDISMO NO ESPECIFICADO
123;GUARDIA EMERGENCIA;E07.9;TRASTORNO DE LA GLANDULA TIROIDES- NO ESPECIFICADO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E10;DIABETES MELLITUS INSULINODEPENDIENTE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E10.0;DIABETES MELLITUS INSULINODEPENDIENTE, C
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E10.1;DIABETES MELLITUS INSULINODEPENDIENTE, C
123;GUARDIA EMERGENCIA;E10.5;DBT INSULINODEPENDIENTE CON COMPLICACIONES CIRCULATORIAS PERIFERICAS
123;GUARDIA EMERGENCIA;E10.8;DBT INSULINODEPENDIENTE CON COMPLICACIONES NO ESPECIFICADAS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E11;DIABETES MELLITUS NO INSULINODEPENDIENTE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E11.5;DIABETES MELLITUS NO INSULINODEPENDIENTE
123;GUARDIA EMERGENCIA;E11.7;DBT NO INSULINODEPENDIENTE CON COMPLICACIONES MULTIPLES
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E12;DIABETES MELLITUS ASOCIADA CON DESNUTRI.
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E13;OTRAS DIABETES MELLITUS ESPECIFICADAS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E13.1;DIABETES MELLITUS ESPECIFICADA, CON CETO
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E13.5;DIABETES MELLITUS ESPECIFICADA, CON COMP
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E13.6;DIABETES MELLITUS ESPECIFICADA, CON OTRA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E13.8;DIABETES MELLITUS ESPECIFICADA, CON COMP
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E13.9;DIABETES MELLITUS ESPECIFICADA, SIN MENC
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E14;DIABETES MELLITUS NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E14.0;DIABETES MELLITUS, NO ESPECIFICADA, CON
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E14.4;DBT S/E CON COMPLICACIONES NEUROLOGICAS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E14.5;DIABETES MELLITUS, NO ESPECIFICADA, CON
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E14.9;DIABETES MELLITUS, NO ESPECIFICADA, SIN
132;GUARDIA NEONATOLOGICA;E15;COMA HIPOGLICEMICO NO DIABETICO
123;GUARDIA EMERGENCIA;E16.1;OTRAS HIPOGLICEMIAS
935;GUARDIA AMBULATORIA MOVILES;E16.2;HIPOGLICEMIA NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E20;HIPOPARATIROIDISMO
123;GUARDIA EMERGENCIA;E24;SINDROME DE CUSHING
123;GUARDIA EMERGENCIA;E29.8;OTRAS DISFUNCIONES TESTICULARES
123;GUARDIA EMERGENCIA;E29.9;DISFUNCION TESTICULAR- NO ESPECIFICADA
135;GUARDIA PEDIATRIA;E34.9;TRANSTORNOS DEL CICLO MENSTRUAL
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E42;KWASHIORKOR MARASMATICO
935;GUARDIA AMBULATORIA MOVILES;E51.2;ENCEFALOPATIA DE WERNICKE
135;GUARDIA PEDIATRIA;E66;OBESIDAD
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E66.9;OBESIDAD NO ESPECIFICADA
835;GUARDIA COVID19;E68;SECUELAS DE HIPERALIMENTACION
935;GUARDIA AMBULATORIA MOVILES;E78.1;HIPERGLICERIDEMIA PURA
123;GUARDIA EMERGENCIA;E79.0;HIPERURICEMIA SIN SIGNOS DE ARTRITIS INFLAMATORIA Y ENFERMEDAD TOFACEA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E83.5;TRAST.DEL METAB.DEL CALCIO
135;GUARDIA PEDIATRIA;E84.0;FIBROSIS QUISTICA CON MANIFEST.PULMONARE
135;GUARDIA PEDIATRIA;E84.9;FIBROSIS QUISTICA NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E86;DEPLECION DE VOLUMEN
123;GUARDIA EMERGENCIA;E87.0;HIPEROSMOLARIDAD E HIPERNATREMIA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E87.2;ACIDOSIS
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E87.6;HIPOPOTASEMIA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;E88.2;LIPOMATOSIS NO CLASIF.EN OTRA PARTE
123;GUARDIA EMERGENCIA;F02;DEMENCIA EN OTRAS ENFERMEDADES CLASIFICADAS EN OTRA PARTE
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;F03;DEMENCIA, NO ESPECIFICADA
35;GUARDIA EMERGENCIA - MEDICINA URGENCIA;F05;DELIRIO,NO IND.POR ALC.U OTRAS SUS.PSICO
